canonical_name,normalized_name,original_names,routine_uses,template_uses,historical_sets,loaded_sets,max_weight_kg,proposed_tracking_type,review_status,notes
"Peso muerto rumano","peso muerto rumano","Peso muerto rumano",1,0,0,0,0,"load_reps","pending",""
"Plancha baja","plancha baja","Plancha baja",2,0,0,0,0,"untracked","pending","Requiere tiempo para progreso útil."
"Plancha baja, lateral y lateral","plancha baja, lateral y lateral","Plancha baja, lateral y lateral",1,0,3,0,0,"untracked","pending","Requiere tiempo para progreso útil."
"Plancha con toque de hombro","plancha con toque de hombro","Plancha con toque de hombro",1,0,0,0,0,"reps_only","pending",""
"Plancha copenaghe","plancha copenaghe","Plancha copenaghe",1,0,3,0,0,"untracked","pending","Requiere tiempo para progreso útil; revisar nombre."
"Plancha lateral","plancha lateral","Plancha lateral",2,0,0,0,0,"untracked","pending","Requiere tiempo para progreso útil."
"Prensa","prensa","Prensa",1,0,3,3,120,"load_reps","pending",""
"Prensa 45","prensa 45","Prensa 45",1,0,0,0,0,"load_reps","pending",""
"Prensa a 1 pierna","prensa a 1 pierna","Prensa a 1 pierna",1,0,3,3,60,"load_reps","pending",""
"Press de hombro","press de hombro","Press de hombro",1,0,0,0,0,"load_reps","pending",""
"Press inclinado","press inclinado","Press inclinado",1,0,0,0,0,"load_reps","pending",""
"Press Pallof","press pallof","Press Pallof",1,0,0,0,0,"load_reps","pending",""
"Press plano","press plano","Press plano",1,0,0,0,0,"load_reps","pending",""
"Puente de glúteo isométrico","puente de gluteo isometrico","Puente de glúteo isométrico",1,0,3,3,20,"untracked","pending","Tiene carga histórica, pero requiere tiempo para una métrica fiel."
"puente de gluteos a 1 pierna","puente de gluteos a 1 pierna","puente de gluteos a 1 pierna",1,0,2,2,10,"load_reps","pending",""
"Pull face en polea","pull face en polea","Pull face en polea",3,0,0,0,0,"load_reps","pending",""
"Remo bajo","remo bajo","Remo bajo",1,0,0,0,0,"load_reps","pending",""
"Remo Hammer","remo hammer","Remo Hammer",1,0,0,0,0,"load_reps","pending",""
"Remo T","remo t","Remo T",1,0,0,0,0,"load_reps","pending",""
"Repiqueteo en un step subo y bajo","repiqueteo en un step subo y bajo","Repiqueteo en un step subo y bajo",1,0,0,0,0,"untracked","pending","Requiere tiempo para progreso útil."
"Saltos a la soga","saltos a la soga","Saltos a la soga",1,0,0,0,0,"reps_only","pending","Revisar si se ejecuta por tiempo."
"Saltos bipodales a step","saltos bipodales a step","Saltos bipodales a step",1,0,0,0,0,"reps_only","pending",""
"Sentadilla 3 tiempos","sentadilla 3 tiempos","Sentadilla 3 tiempos",1,0,3,3,20,"load_reps","pending",""
"Sentadilla con barra sin peso","sentadilla con barra sin peso","Sentadilla con barra sin peso",1,0,3,0,0,"reps_only","pending",""
"Sentadilla copa","sentadilla copa","Sentadilla copa",1,0,0,0,0,"load_reps","pending",""
"Sentadilla isométrica","sentadilla isometrica","Sentadilla isométrica",2,0,3,3,20,"untracked","pending","Tiene carga histórica, pero requiere tiempo para una métrica fiel."
"Sentadillas","sentadillas","Sentadillas",1,0,3,3,80,"load_reps","pending",""
"Sentadillas bulgaras","sentadillas bulgaras","Sentadillas bulgaras | Sentadillas búlgaras",3,0,6,5,20,"load_reps","pending",""
"Sillón de cuádriceps","sillon de cuadriceps","Sillón de cuádriceps",1,0,3,3,70,"load_reps","pending",""
"Sillón de isquios","sillon de isquios","Sillón de isquios",1,0,0,0,0,"load_reps","pending",""
"skater","skater","skater",1,0,2,0,0,"reps_only","pending",""
"Soleo","soleo","Soleo | Sóleo",2,0,0,0,0,"load_reps","pending",""
"Subidas y bajadas a pierna fija","subidas y bajadas a pierna fija","Subidas y bajadas a pierna fija",1,0,3,0,0,"reps_only","pending",""
"Tandem + peso muerto a 1 piernas","tandem + peso muerto a 1 piernas","Tandem + peso muerto a 1 piernas",1,0,0,0,0,"reps_only","pending","Revisar nombre canónico."
"Triceps en Polea","triceps en polea","Triceps en Polea",1,0,0,0,0,"load_reps","pending",""
"Volante","volante","Volante",1,0,0,0,0,"load_reps","pending","Revisar nombre y tipo."
"Vuelos frontales","vuelos frontales","Vuelos frontales",1,0,0,0,0,"load_reps","pending",""
"Vuelos laterales","vuelos laterales","Vuelos laterales",1,0,0,0,0,"load_reps","pending",""
